m,ef_construct,parallel_search,ef_search,dataset,dataset_size,qdrant_total_time,milvus_total_time,qdrant_mean_time,milvus_mean_time,qdrant_mean_precisions,milvus_mean_precisions,qdrant_std_time,milvus_std_time,qdrant_min_time,milvus_min_time,qdrant_max_time,milvus_max_time,qdrant_rps,milvus_rps,qdrant_p95_time,milvus_p95_time,qdrant_p99_time,milvus_p99_time
32,128,1,128,h-and-m-2048-angular-no-filters,0,55.92391280000447,68.2903759999972,0.004608841579954606,0.005710374519985635,0.9994,0.9991400000000001,0.0006375417074455462,0.001581355294061339,0.0030284999957075343,0.003655200001958292,0.015742499992484227,0.10203039999760222,178.81438367451284,146.4335179528139,0.005583209992619231,0.00798710499584558,0.006084102008462651,0.009736619997274829
32,128,1,128,random-match-keyword-100-angular-filters,0,20.717654300000504,33.100579299999936,0.0019708210699938716,0.003146083779999549,1.0,0.5789886666666667,0.0006912815610512525,0.0008705012745601891,0.001036999999996624,0.001727500000015425,0.054758999998739455,0.05180550000000039,482.680126581693,302.10951625248504,0.0025573050003004027,0.004140219999942473,0.0029408269991290587,0.006185825000127359
32,128,1,128,random-match-keyword-100-angular-no-filters,0,40.70250289999967,48.455269099999896,0.003945924230008677,0.004675073019999581,0.8661400000000001,0.7640100000000001,0.0002613184884677109,0.0004585458735592896,0.0034539000007498544,0.004038899999613932,0.011040999997931067,0.010849500000404078,245.68513696979753,206.37590474139006,0.004332354999132803,0.005447830000184694,0.004837413999812271,0.0066542520004077245
32,128,1,256,h-and-m-2048-angular-filters,0,80.69918679999682,58.63247410000622,0.007132485630036535,0.004869681469928764,0.9999720000000001,0.9983360000000001,0.002725623554344839,0.0029524195724448124,0.0017396000039298087,0.0021133999980520457,0.01953549999598181,0.08482709999952931,123.9169859887658,170.55394904440743,0.012551344999155839,0.008638894998148315,0.015240359995659675,0.015302553999790702
32,128,1,256,h-and-m-2048-angular-no-filters,0,66.86919359999592,109.44854679999844,0.005713404389987409,0.009381282999949326,0.9996200000000001,0.9995,0.0009674560491079,0.005700718422782761,0.0032728999940445647,0.002584200003184378,0.01154030000907369,0.06475729999510804,149.54569453639425,91.36713362008881,0.007155514989426592,0.01961702500375395,0.007990812989883125,0.023091830001503697
32,128,1,256,random-match-keyword-100-angular-filters,0,20.91191230000004,38.23425949999978,0.0019890813199977854,0.0036589791699983836,1.0,0.5789886666666667,0.0004255579096787411,0.0013188024217983196,0.0011174000010214513,0.00191650000010668,0.006199300001753727,0.06095529999993232,478.19634362181125,261.545538759553,0.002543619999596558,0.00525821000006772,0.0027846129993668004,0.006491525000037655
32,128,1,256,random-match-keyword-100-angular-no-filters,0,55.0834752999981,127.50179230000049,0.005373457009991398,0.012349957700002596,0.9435600000000001,0.87503,0.00031844039211914815,0.0019899061297374817,0.004694700000982266,0.005335699999704957,0.009067800001503201,0.03624260000015056,181.5426485990136,78.4302700347214,0.005855605000215291,0.015478239999947617,0.006699818000233791,0.01779981999944541
32,128,1,512,h-and-m-2048-angular-filters,0,88.08527930000128,68.19125929999427,0.007846557289975317,0.005837498020033673,0.999976,0.998828,0.0036205164878489247,0.0053898510999232764,0.0016669999968144111,0.00199869999778457,0.024684199997864198,0.06618969999544788,113.5263471884099,146.64636058423457,0.015555870002572188,0.01375605000030191,0.018959576003107947,0.03003608200371673
32,128,1,512,h-and-m-2048-angular-no-filters,0,88.05755019999924,61.04840189999959,0.007734249440026178,0.005166248209997866,0.9997099999999999,0.9995799999999999,0.0014300892858643058,0.00093555534871075,0.004328199996962212,0.003010699998412747,0.01772440000786446,0.014274199995270465,113.56209634821394,163.80445169360064,0.009867275002034147,0.006671514999106875,0.010856202009454136,0.007672924999278621
32,128,1,512,random-match-keyword-100-angular-filters,0,20.94466840000132,49.90728839999997,0.0019915805299975547,0.004775569279999285,1.0,0.5789886666666667,0.0004396010337948282,0.002467368255607761,0.0011248999999224907,0.0018984000000727974,0.007340399999520741,0.05509329999995316,477.44847562252977,200.371535312666,0.0025797699998292944,0.008484530000112045,0.002821807998880104,0.009196235999907003
