m,ef_construct,parallel_search,ef_search,dataset,dataset_size,qdrant_total_time,milvus_total_time,qdrant_mean_time,milvus_mean_time,qdrant_mean_precisions,milvus_mean_precisions,qdrant_std_time,milvus_std_time,qdrant_min_time,milvus_min_time,qdrant_max_time,milvus_max_time,qdrant_rps,milvus_rps,qdrant_p95_time,milvus_p95_time,qdrant_p99_time,milvus_p99_time
16,128,100,256,glove-25-angular,0,57.65625729999738,8.436047399998643,0.04559340639999209,0.006291310489938769,0.9999959999999999,0.981606,0.006327578540601933,0.002024949245346779,0.025355500001751352,0.003474199998890981,0.11241030000383034,0.05696159999934025,173.44171245746912,1185.3892618006876,0.05405947000472224,0.00842881499993382,0.06794538800328155,0.00988937799513224
16,128,100,256,h-and-m-2048-angular-filters,0,36.05262760000187,23.309441800003697,0.019685585849975904,0.008662740099994699,0.999976,0.9973920000000001,0.007754481867822115,0.0052670561101087745,0.0031205999985104427,0.002927499997895211,0.059106600005179644,0.07281449999572942,277.3722933858913,429.0107024355433,0.034249774997806515,0.016155940002136045,0.04209921099922213,0.02894567999333959
16,128,100,256,h-and-m-2048-angular-no-filters,0,36.67530679999618,21.551324000000022,0.024495119080076982,0.00676977790003366,0.99971,0.9991399999999999,0.006114385556106831,0.0012771805404524293,0.005719599997974001,0.00369920000230195,0.06207120000908617,0.02399639999930514,272.66302241269983,464.0086149695485,0.03240551000853884,0.008869730001242712,0.03650034398975549,0.010750197999732345
16,128,100,256,laion-small-clip,0,77.98498720800853,104.84588970799814,0.09330192950844357,0.35369023529303667,0.99728,0.8700200000000001,0.09755602854181727,0.2992468250362247,0.0028317089891061187,0.004183541997917928,0.772794917007559,3.614793832995929,64.1149044067104,47.68904163935552,0.2950431104058226,0.8749241933976011,0.46735502257230127,1.5083559658315793
16,128,100,256,random-100-euclidean,0,0.07645539999998618,0.05619410000008429,0.018976530000031744,0.00540229000000636,1.0,1.0,0.008423573555996664,0.0015327871864389475,0.002204899999924237,0.002713299999982155,0.02618180000013126,0.00746860000003835,130.79520870993818,177.9546251294175,0.02516628500009119,0.007306195000023763,0.025978697000123247,0.007436119000035433
16,128,100,256,random-match-keyword-100-angular-filters,0,6.3715064999996684,15.803381499999887,0.0047748456800056375,0.01220172616999921,1.0,0.558359,0.0013605692638938988,0.005083792860054736,0.0022802000003139256,0.004524700000047233,0.034645900001123664,0.07885899999996582,1569.4875301469942,632.7759663335389,0.006949905000146828,0.020912899999984802,0.007803521000587353,0.02867340500003593
16,128,100,256,random-match-keyword-100-angular-no-filters,0,21.47259469999699,12.737363600000208,0.016731567229995564,0.009792402480000965,0.8161800000000001,0.60283,0.0017074636212753207,0.0021756593916001264,0.007593800000904594,0.004839700000047742,0.06113770000229124,0.028492800000094576,465.7099032377956,785.0918222982845,0.01898186500129668,0.013638605000369352,0.022006333999997883,0.016489486999935268
16,128,100,512,gist-960-euclidean,0,7.416243800000302,7.9949689000000035,0.05809180620000825,0.062380195899997944,0.9857400000000001,0.97756,0.006965757944001705,0.0181236373738829,0.033984700000019075,0.02773509999997259,0.08446660000026895,0.15785639999990053,134.8391486266888,125.07866040604605,0.06835265000008803,0.09763184499987573,0.07137165799992544,0.12228744399996455
16,128,100,512,glove-100-angular,0,31.796166399999493,15.217270399999961,0.02491258354999227,0.011735347019999495,0.9632120000000001,0.884985,0.0023840208958306294,0.0026847967508514515,0.01515070000095875,0.005675099999962185,0.061900799999421,0.05200820000004569,314.5033232685611,657.148078278219,0.028318335001040394,0.016310965000138816,0.030007341999098575,0.020322810999953166
16,128,100,512,glove-25-angular,0,70.85165669999697,10.813226699996449,0.056065452199982976,0.008174187289995461,0.9999959999999999,0.995292,0.009391035089820322,0.0019935480239215487,0.021334699995350093,0.00386399999842979,0.15033799999946496,0.05833400000119582,141.1399601048486,924.7933366645577,0.07114569499899517,0.011326959999496466,0.08977992299718611,0.013229911003290908
16,128,100,512,h-and-m-2048-angular-filters,0,39.21955109999544,27.362065900000744,0.023253631140030484,0.01097059434002731,0.999984,0.9981040000000001,0.010595353563091766,0.009041287653721057,0.003102700000454206,0.0027310000004945323,0.08085390000633197,0.11453799999435432,254.974871448775,365.46948013891483,0.04306311500295123,0.02479121499745814,0.0529375839988643,0.049787277998766595
16,128,100,512,h-and-m-2048-angular-no-filters,0,54.89764789999754,24.656900699999824,0.04286864794989524,0.009824117000032129,0.99976,0.9993700000000001,0.005021539885110124,0.002079249280368309,0.012851299994508736,0.005168899995624088,0.07550289999926463,0.03890530000353465,182.1571667007695,405.56597610015405,0.0506273900027736,0.013627920002909369,0.055209313998202565,0.016128425002898447
16,128,100,512,laion-small-clip,0,40.71535491599934,86.98242308299814,0.13722156435213692,0.4916366527188773,0.99772,0.8713,0.11058704143642079,0.2992155402314882,0.003206374996807426,0.009449374992982484,1.226171083006193,2.8996990000014193,122.8037925818306,57.482877836468504,0.3060452437457571,1.0750105437444295,0.400242407727929,1.5164444062566336
16,128,100,512,random-100-euclidean,0,0.09908949999999095,0.08622569999988627,0.0330919700000095,0.006508949999988545,1.0,1.0,0.014499680233546256,0.0023451314833772916,0.005440799999860246,0.0023992000001271663,0.046467000000120606,0.009419500000149128,100.91886627746545,115.97470359780425,0.045702405000020006,0.009253360000036537,0.04631408100010049,0.00938627200012661
